timestamp,window_seconds,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,packet_rate_raw,byte_rate_raw,connection_count,unique_destinations,unique_ports,syn_count,established_count,time_wait_count,new_destinations,most_common_destination_count,packet_rate,failed_auth_ratio,connection_burst,destination_change_rate,port_scan_score,protocol_deviation,retransmission_rate,payload_irregularity,device_behavior_shift,request_frequency
1788913788.2888198,2.034560441970825,8654,8277,22,25,23.10081284902617,8321.699198869406,29,22,11,0,29,11,0,8,0.460610583202463,0.06635980905566108,0.0,0.2392395677340804,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.12459343251433136,0.1096917612091733,0.5684365756486544
1788913790.317662,2.0288422107696533,137,108,1,2,1.4786758595987275,120.75852853389608,29,22,11,0,29,11,0,8,0.13138756823782008,0.06635980905566108,0.0,0.2392395677340804,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.17992885243102422,0.1096917612091733,0.3490475491567429
1788913792.3356342,2.017972230911255,54,134,1,1,0.9910939156466295,93.16282807078318,29,22,11,0,29,11,0,8,0.09968282506135792,0.06635980905566108,0.0,0.2392395677340804,0.32562963279074064,0.18959945444474594,0.34759899981536757,0.19497134814569303,0.1096917612091733,0.3298627280761532
1788913794.3582346,2.0226004123687744,16978,99095,55,77,65.26252006712873,57388.00372539268,30,23,11,0,30,10,0,8,0.6070014876939166,0.06753615703308123,0.05,0.24248688476141053,0.32562963279074064,0.1929604486659464,0.3454274892209018,0.10338064876371633,0.13633815516161243,0.6687991124910899
1788913796.4532335,2.094998836517334,10593,9674,31,35,31.5035974481573,9673.991052754607,30,23,11,0,30,9,0,8,0.5039042324017068,0.06149088422236405,0.0,0.24248688476141053,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.09106044393005985,0.10788371355548834,0.5941669928198118
1788913798.4707725,2.0175390243530273,3603,2944,9,13,10.90437395978243,3245.042559758889,30,23,11,0,30,9,0,8,0.3585169790141361,0.06149088422236405,0.0,0.24248688476141053,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.1656463120412352,0.10788371355548834,0.5073130890707473
1788913800.4891963,2.0184237957000732,15782,59329,46,65,54.993406358202684,37212.7004051438,29,22,11,0,29,10,0,8,0.5826279943023648,0.06753615703308123,0.05,0.2392395677340804,0.32562963279074064,0.1929604486659464,0.3454274892209018,0.09967134346574014,0.1353639600534134,0.6488643456088674
1788913802.506706,2.017509698867798,13017,28857,28,41,34.200579079605895,20755.29055622344,29,22,11,0,29,9,0,8,0.5154420220928532,0.06149088422236405,0.0,0.2392395677340804,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.1290077489542416,0.1069095184472893,0.6077014461599095
1788913804.521508,2.0148019790649414,2901,87378,33,73,52.61062928337703,44807.87736862259,29,22,11,0,29,8,0,8,0.5763335771973616,0.05867721566799166,0.0,0.2392395677340804,0.32562963279074064,0.16764918762283332,0.3073568439751944,0.1180065974883463,0.10530170784479079,0.6481253044398865
1788913806.5476515,2.0261435508728027,2535,938,7,8,7.403226683291242,1714.0937514046989,29,22,11,0,29,8,0,8,0.3081041126871277,0.05867721566799166,0.0,0.2392395677340804,0.32562963279074064,0.16764918762283332,0.3073568439751944,0.17469963485076967,0.10530170784479079,0.47170328675520734
1788913808.5645075,2.0168559551239014,52377,3021174,346,2419,1370.9457003983896,1523931.8366745645,28,21,11,0,28,9,0,8,1.0,0.06499088422236406,0.05,0.235847878982611,0.32562963279074064,0.18568824063532588,0.3320951078314308,0.07702740229174365,0.13289201182184848,0.903481273486562
1788913810.5845144,2.0200068950653076,10292,21023,31,37,33.6632514305361,15502.422331577029,28,20,11,0,28,9,0,8,0.5132155073457098,0.06149088422236405,0.0,0.23229838162588368,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.11231760010883918,0.10482716261483027,0.6006011291086755
1788913812.6186488,2.0341343879699707,10502,1453534,130,1149,628.7686829169722,719734.1575160535,28,20,11,0,28,9,0,8,0.9329253661291431,0.06149088422236405,0.0,0.23229838162588368,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.05858608145960531,0.10482716261483027,0.86021729394339
1788913814.7131739,2.094525098800659,10392,223256,53,206,123.65571563134066,111551.7785553339,28,20,11,0,28,9,0,8,0.6984696687753891,0.06149088422236405,0.0,0.23229838162588368,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.05500143550539527,0.10482716261483027,0.7188158091887622
1788913816.726492,2.0133180618286133,48743,48166,93,101,96.35834678987474,48133.97437659779,29,21,11,0,29,9,1,8,0.6626951765402693,0.06499088422236406,0.05,0.39521705307047805,0.3711636825301312,0.18568824063532588,0.3320951078314308,0.036287007470445,0.1807027640482086,0.6922345059763415
1788913818.7762952,2.0498032569885254,2403,19290,19,27,22.441178119494765,10582.966890134781,29,21,11,0,29,9,0,8,0.4565937459469402,0.06149088422236405,0.0,0.235847878982611,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.14419240741511358,0.10589201182184849,0.5695445845499449
1788913820.78607,2.009774923324585,55,66,1,1,0.9951363094388623,60.20574672105117,29,21,11,0,29,9,0,8,0.09997639163702812,0.06149088422236405,0.0,0.235847878982611,0.32562963279074064,0.17568824063532587,0.3220951078314308,0.16675001204146186,0.10589201182184849,0.32442395745827607
1788913822.8138537,2.0277836322784424,7070,6970,13,20,16.2739256174589,6923.815626337059,28,20,11,0,28,9,0,8,0.4124040099583435,0.06499088422236406,0.05,0.23229838162588368,0.32562963279074064,0.18568824063532588,0.3320951078314308,0.16087936979873652,0.1318271626148303,0.5397454348754985
